,PC1,PC2,PC3,PC4,PC5
AAPL,0.13322929870305705,-0.10415810178690454,0.024398544071591942,-0.17548792842745276,0.09277486996119658
MSFT,0.11529710756500744,-0.24258300312290515,-0.02511411541115361,-0.19332536821814805,-0.08209301528930907
GOOGL,0.09759375866628922,-0.19124284770144573,-0.060798998763306626,-0.16205618789752985,-0.02838199391418908
META,0.10849907845218444,-0.2150219739807654,-0.043578470578787096,-0.18574541100313946,-0.043207509331338656
NVDA,0.09594225625357827,-0.24164254207885205,-0.10856528001405627,-0.1851086590915435,-0.09455547208247428
AMD,0.11327194804902269,-0.1803029802629162,-0.07160004739022333,-0.15374649066982787,-0.016510198837988987
INTC,0.1068239133623915,-0.0606697636218079,-0.012491414128607103,-0.057159754902516985,-0.02131250206503804
CSCO,0.136260724228352,-0.055140989457257386,0.03332990754657722,-0.028615545734792275,-0.004890134386967393
ADBE,0.08964845580190776,-0.1325753407991085,0.04102077382107622,-0.1610476950596548,-0.0015089533976807568
CRM,0.10843962888275492,-0.14207488369001964,0.0188638493744771,-0.11777358539178275,-0.05033683778906492
JPM,0.16980118656396423,-0.06638941635056804,-0.013625698415401484,0.24969155902684997,-0.14104861315468878
BAC,0.17421221842455753,-0.04180871157658088,-0.0008397711845900799,0.28592727492347975,-0.008034218327282128
WFC,0.15881425225820583,-0.07099095236205828,-0.011144620770309156,0.31796375366609103,-0.03889084863871312
C,0.17646680510155502,-0.08130654482538685,-0.004223220483190878,0.21328571942542368,-0.047109679432804606
GS,0.18617015724450875,-0.09653284044428126,-0.005566704764934212,0.20562822260463529,-0.07221903726805377
MS,0.18091785456635978,-0.09561807670412988,-0.014942881844884811,0.2175586439975716,-0.07390204283724014
BLK,0.17593535198970411,-0.07968129398023058,0.0912608519707349,0.08475514897457859,0.057855076075659186
SCHW,0.13056002667341887,-0.08431238266616704,0.0027937232001761197,0.20537419872356252,-0.09303605799769643
USB,0.17997279410909747,-0.017093195248335552,0.057054299792558216,0.22147181660570553,0.06846527707220194
PNC,0.17865533547310494,-0.013083612117087034,0.05509615832924936,0.25285658929166205,0.0693815977594987
JNJ,0.040183120287263216,0.21326841050406184,0.27530771512058283,0.04730030750102423,-0.0948868324162701
UNH,0.02598953057791488,0.03909211463294381,0.10576237419178534,0.0023889306110049997,-0.08988974150248659
PFE,0.07682935975621141,0.15470421368195456,0.23437169216512171,-0.10418175542295444,-0.08664937675959634
ABBV,0.0734407966911718,0.15142556276687086,0.2215883521265281,-0.07010075545523814,-0.1447403056416359
TMO,0.12610528748454614,0.07792342180967467,0.20672263104405764,-0.1309430063845275,-0.102571511488581
ABT,0.051716586003173484,0.08783648962741061,0.24430323729578093,0.016413853176750495,-0.11394777580889116
MRK,0.05679581652906007,0.13049800140030532,0.23428461808845946,-0.15827492546218216,-0.1292961866610326
LLY,0.06218891757285309,-0.03127353312041986,0.13179097218170732,-0.14220284098938593,-0.20215963125908906
DHR,0.1275525069629908,0.04882368139408576,0.1925092883937628,-0.12748338067013695,-0.1247286727846011
BMY,0.06557030089184966,0.17272979410947845,0.22745278799710925,-0.029792181942296058,-0.007075208717450789
AMZN,0.1359663134312384,-0.20895938239262568,-0.05610935021025576,-0.17541051410637112,-0.02192993961420803
TSLA,0.11251865617769297,-0.15604921945689795,-0.048359879144797994,-0.04691677239628194,-0.012962720059128081
HD,0.13178158751028632,-0.005820475228681969,0.17285083115027172,-0.02189157027200226,0.3184927283232871
NKE,0.10413135862163769,0.003672570463245959,0.08222200169034122,-0.14069238963379535,0.25144970691011787
MCD,0.050816403023105174,0.05305755347525747,0.22047715775320736,-0.047096926759628434,0.05463700734553236
SBUX,0.10635736159960343,-0.01682589030896093,0.052816553563399,-0.06700159966252026,0.16245007983838466
TGT,0.11256034365861471,0.01890438426471599,0.08427606944616739,-0.053468382365621736,0.3136019978216822
LOW,0.1310671990807223,0.014275909181876758,0.17669293925267204,-0.004282793164213969,0.3465109697846552
DIS,0.13984973581248328,-0.024466811403957237,0.009707465675751575,0.012576602422784274,0.08727333615386826
COST,0.07850870156891454,-0.14021787277451755,0.11181723910606219,-0.10799267187551378,-0.1133189716009945
XOM,0.13336825397171356,0.26162370004219787,-0.17743716996900222,-0.04124114927136863,-0.03609778846883376
CVX,0.15065142764281303,0.21261267847361318,-0.1685462179063839,-0.056311835407370295,-0.011135788797991248
COP,0.15284964112117344,0.21019397252098052,-0.19470314382093898,-0.07646050762264799,-0.059158239261112175
SLB,0.16175477016838383,0.15330415924777718,-0.15555856833023013,-0.07850671463362457,0.003933244266947216
EOG,0.14274924666699199,0.20385745809665703,-0.20103179353865988,-0.07067752406248301,-0.04412011391298525
MPC,0.1462042960580209,0.14964334370126986,-0.18055088410226902,-0.0473345518317598,0.03243593804633679
VLO,0.14538902933213693,0.1573242345207405,-0.18097143924636333,-0.04005978448655631,0.015928552175602358
PSX,0.16430184724430805,0.15802415987704058,-0.1512062528956739,-0.02244295331156046,0.05231069173394911
OXY,0.14787084430687591,0.2035467334401974,-0.18604279954944197,-0.11900913738621925,-0.008632170961822292
HAL,0.15589684649179789,0.16333740192419874,-0.18489328701469787,-0.07699838710049646,-0.024812539956994478
CAT,0.1659114772697425,-0.03464543469278538,-0.047318939379483296,0.030193562858087466,0.06358383778304294
BA,0.11711665099170979,-0.06508919066345054,-0.004056787924897543,-0.02641570689206236,-0.05440877950343453
HON,0.14101457511436946,0.015790422913526204,0.11858223778519221,-0.033252128968198146,-0.020808806051499297
UPS,0.11418490272560596,0.05198421935405522,0.07515598743196758,-0.054134256110018014,0.26938026253607117
RTX,0.0923138236865115,0.06434481301460179,0.01890949068229941,0.015537973568042967,-0.29810192315749773
LMT,0.040641628700952934,0.12302469458954171,0.0854471707509914,0.022156849865371173,-0.27842284284825275
DE,0.13434530477649662,0.045388588898566326,0.01915325482140565,0.01836512330932349,0.15855102172676896
GE,0.12820273340878313,-0.12082896620664961,-0.011033472785842074,-0.027647433776068354,-0.23324215164129114
MMM,0.13005993665574256,0.005448903611394424,0.09509087627798815,0.013637033704083736,0.01812971102167041
EMR,0.17364961497870832,-0.0676883474339184,-0.015622162420947834,0.011991431924453101,0.014229165471632051
