,0
XOM,0.06871834527589207
JNJ,0.05601729609012868
CVX,0.05584506085276462
COP,0.055209761104511465
EOG,0.05354540582635395
OXY,0.0534637905742767
BMY,0.04536938216657894
HAL,0.042902366949492184
PSX,0.04150678542735902
VLO,0.041322942326394455
MSFT,-0.06371709659321337
NVDA,-0.0634700741455783
META,-0.056477888843903944
AMZN,-0.05488548241454258
GOOGL,-0.05023203952001713
AMD,-0.047358562890063086
TSLA,-0.04098804558204383
CRM,-0.03731753243635136
COST,-0.03682976807382614
ADBE,-0.034822372906708254
